Region,Country,City,CitySizeClass,TotalPop,DeprivedPop,PctDeprived
Asia,afghanistan,Bagram,Small,98120.04371858899,0.0,0.0
Asia,afghanistan,Chaman,Small,175884.146438385,0.0,0.0
Asia,afghanistan,Charikar,Small,182398.35578497598,17887.717446683004,9.80695103840207
Asia,afghanistan,Farah,Small,135327.62085285198,0.0,0.0
Asia,afghanistan,Guzarah,Small,164797.329927824,0.0,0.0
Asia,afghanistan,Herat,Large,1333792.33589888,151072.083842748,11.32650711633729
Asia,afghanistan,Injerak,Small,117529.575202353,0.0,0.0
Asia,afghanistan,Jalalabad,Small,483710.41592180997,2300.571645996,0.4756092840406974
Asia,afghanistan,Kabul,Very large,6003884.040119753,446600.87431055,7.4385326453047576
Asia,afghanistan,Kandahar,Medium,735208.1559675911,110129.78003748399,14.979401295207973
Asia,afghanistan,Khanabad,Small,86595.19128613599,0.0,0.0
Asia,afghanistan,Kunduz,Small,251980.48075592902,0.0,0.0
Asia,afghanistan,Lashkar Gah,Small,170033.619357708,0.0,0.0
Asia,afghanistan,Maymana,Small,117099.407992388,0.0,0.0
Asia,afghanistan,Mazar i sharif,Medium,720381.470391002,62387.875843229,8.660394306001052
Asia,afghanistan,Pul-i-Alam,Small,52538.374222971004,0.0,0.0
Asia,afghanistan,Puli Khumri,Small,198291.908582029,13357.034425590002,6.736046125686713
Asia,afghanistan,Sheberghan,Small,155221.40576137303,0.0,0.0
Asia,afghanistan,Taloqan,Small,296041.749417691,0.0,0.0
Asia,afghanistan,Zaranj,Small,38938.463229944,0.0,0.0
Africa,algeria,Adrar,Small,100289.65217801301,5021.8627247350005,5.007358800907246
Africa,algeria,Aflou,Small,186728.056779715,12126.334037302,6.494114621247069
Africa,algeria,Ain Beida,Small,167489.98198127904,0.0,0.0
Africa,algeria,Ain Defla,Small,77054.89868118001,5952.778809314,7.725373611798562
Africa,algeria,Ain Fakroun,Small,60835.867766378,5736.5324550899995,9.429523512542701
Africa,algeria,Ain Mlila,Small,99104.41769358798,0.0,0.0
Africa,algeria,Ain Oussara,Small,119894.489654192,39851.050288959996,33.23843356262757
Africa,algeria,Ain Sefra,Small,73819.964357338,2469.020862216,3.3446519294757273
Africa,algeria,Ain Temouchent,Small,93424.83420114701,949.2154365829999,1.0160204668271662
Africa,algeria,Ain Turk,Small,86902.55057429303,15148.948219000999,17.4321100116045
Africa,algeria,Algiers,Large,4098005.835226121,600692.116625658,14.658156693242308
Africa,algeria,Ali Mendjeli,Small,153561.84527565597,2116.4544187779998,1.3782423719764454
Africa,algeria,Annaba,Small,472239.196746657,29091.352282778,6.160300221411881
Africa,algeria,Arzew,Small,70926.698607264,3543.2880912090004,4.995704242247238
Africa,algeria,Ash Shalif,Small,216275.80118634598,49906.434517625996,23.075366843573025
Africa,algeria,Aïn Oulmane,Small,70867.84923664501,2471.166372056,3.487006306349405
Africa,algeria,Aïn Touta,Small,62077.12142313501,7761.952918231001,12.503725592112044
Africa,algeria,Barika,Small,123151.24940061901,32652.082538070998,26.513805338548902
Africa,algeria,Bashar,Small,203249.809653248,4360.78893463,2.145531620457443
Africa,algeria,Batna,Small,379889.85206629604,15790.882511451002,4.156700271292131
Africa,algeria,Bejaia,Small,204653.12670827797,20498.076399161,10.016009395439095
Africa,algeria,Berrouaghia,Small,54394.60813607901,0.0,0.0
Africa,algeria,Bir El Ater,Small,96959.273041335,0.0,0.0
Africa,algeria,Biskra,Small,298648.579536088,6517.450645937,2.18231429597322
Africa,algeria,Blida,Medium,647758.6330995059,114851.60353692199,17.730617187973312
Africa,algeria,Bordj Bou Arreridjj,Small,210933.94508151803,18801.455397093,8.91343277623094
